userId	geneSymbol	geneName	entrezgene	score	gLink
ACTR8	ACTR8	actin related protein 8	93973	-2.2628279	https://www.ncbi.nlm.nih.gov/gene/?term=93973
ACTRT3	ACTRT3	actin related protein T3	84517	-0.33997935	https://www.ncbi.nlm.nih.gov/gene/?term=84517
ACVR1	ACVR1	activin A receptor type 1	90	-2.1482913	https://www.ncbi.nlm.nih.gov/gene/?term=90
ACVR2B	ACVR2B	activin A receptor type 2B	93	3.4194808	https://www.ncbi.nlm.nih.gov/gene/?term=93
ACVRL1	ACVRL1	activin A receptor like type 1	94	-0.47702166	https://www.ncbi.nlm.nih.gov/gene/?term=94
ACY3	ACY3	aminoacylase 3	91703	-1.1960702	https://www.ncbi.nlm.nih.gov/gene/?term=91703
ADA	ADA	adenosine deaminase	100	-1.8511459	https://www.ncbi.nlm.nih.gov/gene/?term=100
ADAL	ADAL	adenosine deaminase like	161823	-1.2454237	https://www.ncbi.nlm.nih.gov/gene/?term=161823
ADAM12	ADAM12	ADAM metallopeptidase domain 12	8038	-1.4780412	https://www.ncbi.nlm.nih.gov/gene/?term=8038
ADAM15	ADAM15	ADAM metallopeptidase domain 15	8751	-5.2312093	https://www.ncbi.nlm.nih.gov/gene/?term=8751
ADAM1A	ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)	8759	-0.24683842	https://www.ncbi.nlm.nih.gov/gene/?term=8759
ADAM28	ADAM28	ADAM metallopeptidase domain 28	10863	10.64574	https://www.ncbi.nlm.nih.gov/gene/?term=10863
ADAM33	ADAM33	ADAM metallopeptidase domain 33	80332	-0.193855	https://www.ncbi.nlm.nih.gov/gene/?term=80332
ADAM8	ADAM8	ADAM metallopeptidase domain 8	101	-3.1324136	https://www.ncbi.nlm.nih.gov/gene/?term=101
ADAMTS1	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	9510	-6.284216	https://www.ncbi.nlm.nih.gov/gene/?term=9510
ADAMTS13	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	11093	-0.4489783	https://www.ncbi.nlm.nih.gov/gene/?term=11093
ADAMTS18	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	170692	-0.026819123	https://www.ncbi.nlm.nih.gov/gene/?term=170692
ADAMTS19	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19	171019	-0.0118294535	https://www.ncbi.nlm.nih.gov/gene/?term=171019
ADAMTS3	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	9508	-0.9754246	https://www.ncbi.nlm.nih.gov/gene/?term=9508
ADAMTS4	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	9507	-0.92918867	https://www.ncbi.nlm.nih.gov/gene/?term=9507
ADAMTS5	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	11096	-0.377361	https://www.ncbi.nlm.nih.gov/gene/?term=11096
ADAMTS6	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	11174	4.6861863	https://www.ncbi.nlm.nih.gov/gene/?term=11174
ADAMTS8	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	11095	-0.106493555	https://www.ncbi.nlm.nih.gov/gene/?term=11095
ADAMTS9	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	56999	-2.8734612	https://www.ncbi.nlm.nih.gov/gene/?term=56999
ADAMTSL1	ADAMTSL1	ADAMTS like 1	92949	8.978028	https://www.ncbi.nlm.nih.gov/gene/?term=92949
ADAMTSL4	ADAMTSL4	ADAMTS like 4	54507	0.7865804	https://www.ncbi.nlm.nih.gov/gene/?term=54507
ADAP2	ADAP2	ArfGAP with dual PH domains 2	55803	-1.2517157	https://www.ncbi.nlm.nih.gov/gene/?term=55803
ADARB1	ADARB1	adenosine deaminase, RNA specific B1	104	-2.1898298	https://www.ncbi.nlm.nih.gov/gene/?term=104
ADAT1	ADAT1	adenosine deaminase, tRNA specific 1	23536	-3.1774397	https://www.ncbi.nlm.nih.gov/gene/?term=23536
ADAT2	ADAT2	adenosine deaminase, tRNA specific 2	134637	-2.4653664	https://www.ncbi.nlm.nih.gov/gene/?term=134637
ADCK1	ADCK1	aarF domain containing kinase 1	57143	-0.9624421	https://www.ncbi.nlm.nih.gov/gene/?term=57143
ADCK2	ADCK2	aarF domain containing kinase 2	90956	-1.2334803	https://www.ncbi.nlm.nih.gov/gene/?term=90956
ADCK5	ADCK5	aarF domain containing kinase 5	203054	-1.5891042	https://www.ncbi.nlm.nih.gov/gene/?term=203054
ADCY10P1	ADCY10P1	adenylate cyclase 10, soluble pseudogene 1	221442	-1.3901957	https://www.ncbi.nlm.nih.gov/gene/?term=221442
ADCY2	ADCY2	adenylate cyclase 2	108	-1.5626267	https://www.ncbi.nlm.nih.gov/gene/?term=108
ADCY3	ADCY3	adenylate cyclase 3	109	-1.2719439	https://www.ncbi.nlm.nih.gov/gene/?term=109
ADCY4	ADCY4	adenylate cyclase 4	196883	-0.1903389	https://www.ncbi.nlm.nih.gov/gene/?term=196883
ADCY5	ADCY5	adenylate cyclase 5	111	-0.14354779	https://www.ncbi.nlm.nih.gov/gene/?term=111
ADCY6	ADCY6	adenylate cyclase 6	112	-1.1512009	https://www.ncbi.nlm.nih.gov/gene/?term=112
ADCY7	ADCY7	adenylate cyclase 7	113	-1.5067393	https://www.ncbi.nlm.nih.gov/gene/?term=113
ADCY8	ADCY8	adenylate cyclase 8	114	-3.9383113	https://www.ncbi.nlm.nih.gov/gene/?term=114
ADCYAP1R1	ADCYAP1R1	ADCYAP receptor type I	117	3.6632159	https://www.ncbi.nlm.nih.gov/gene/?term=117
ADD2	ADD2	adducin 2	119	-0.38946092	https://www.ncbi.nlm.nih.gov/gene/?term=119
ADGB	ADGB	androglobin	79747	-6.964957	https://www.ncbi.nlm.nih.gov/gene/?term=79747
ADH1B	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	125	-1.6209198	https://www.ncbi.nlm.nih.gov/gene/?term=125
ADH1C	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	126	-2.0348938	https://www.ncbi.nlm.nih.gov/gene/?term=126
ADH6	ADH6	alcohol dehydrogenase 6 (class V)	130	-5.8398213	https://www.ncbi.nlm.nih.gov/gene/?term=130
ADHFE1	ADHFE1	alcohol dehydrogenase, iron containing 1	137872	-1.0908436	https://www.ncbi.nlm.nih.gov/gene/?term=137872
ADIPOR2	ADIPOR2	adiponectin receptor 2	79602	-5.7995925	https://www.ncbi.nlm.nih.gov/gene/?term=79602
ADM	ADM	adrenomedullin	133	-8.238794	https://www.ncbi.nlm.nih.gov/gene/?term=133
ADNP	ADNP	activity dependent neuroprotector homeobox	23394	-3.2139673	https://www.ncbi.nlm.nih.gov/gene/?term=23394
ADNP2	ADNP2	ADNP homeobox 2	22850	-2.1799505	https://www.ncbi.nlm.nih.gov/gene/?term=22850
ADORA2A	ADORA2A	adenosine A2a receptor	135	-0.51009005	https://www.ncbi.nlm.nih.gov/gene/?term=135
ADORA3	ADORA3	adenosine A3 receptor	140	-0.67503333	https://www.ncbi.nlm.nih.gov/gene/?term=140
ADPRH	ADPRH	ADP-ribosylarginine hydrolase	141	-1.0539175	https://www.ncbi.nlm.nih.gov/gene/?term=141
ADPRHL2	ADPRHL2	ADP-ribosylhydrolase like 2	54936	-5.092886	https://www.ncbi.nlm.nih.gov/gene/?term=54936
ADPRM	ADPRM	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	56985	-1.431734	https://www.ncbi.nlm.nih.gov/gene/?term=56985
ADRA2A	ADRA2A	adrenoceptor alpha 2A	150	-0.7821817	https://www.ncbi.nlm.nih.gov/gene/?term=150
ADRA2B	ADRA2B	adrenoceptor alpha 2B	151	-1.3777969	https://www.ncbi.nlm.nih.gov/gene/?term=151
ADRB2	ADRB2	adrenoceptor beta 2	154	-4.808196	https://www.ncbi.nlm.nih.gov/gene/?term=154
ADTRP	ADTRP	androgen dependent TFPI regulating protein	84830	-0.54482394	https://www.ncbi.nlm.nih.gov/gene/?term=84830
AFAP1	AFAP1	actin filament associated protein 1	60312	-3.0566397	https://www.ncbi.nlm.nih.gov/gene/?term=60312
AFAP1L1	AFAP1L1	actin filament associated protein 1 like 1	134265	1.05685	https://www.ncbi.nlm.nih.gov/gene/?term=134265
AFF3	AFF3	AF4/FMR2 family member 3	3899	-0.4060734	https://www.ncbi.nlm.nih.gov/gene/?term=3899
AFG3L1P	AFG3L1P	AFG3 like matrix AAA peptidase subunit 1, pseudogene	172	-2.2278948	https://www.ncbi.nlm.nih.gov/gene/?term=172
AGAP1	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	116987	-4.0604067	https://www.ncbi.nlm.nih.gov/gene/?term=116987
AGAP3	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	116988	-2.223425	https://www.ncbi.nlm.nih.gov/gene/?term=116988
AGBL2	AGBL2	ATP/GTP binding protein like 2	79841	-6.219901	https://www.ncbi.nlm.nih.gov/gene/?term=79841
AGBL3	AGBL3	ATP/GTP binding protein like 3	340351	-0.6929839	https://www.ncbi.nlm.nih.gov/gene/?term=340351
AGER	AGER	advanced glycosylation end-product specific receptor	177	-0.10571062	https://www.ncbi.nlm.nih.gov/gene/?term=177
AGFG1	AGFG1	ArfGAP with FG repeats 1	3267	-4.91896	https://www.ncbi.nlm.nih.gov/gene/?term=3267
AGFG2	AGFG2	ArfGAP with FG repeats 2	3268	-0.12820224	https://www.ncbi.nlm.nih.gov/gene/?term=3268
AGO1	AGO1	argonaute RISC catalytic component 1	26523	-1.8113726	https://www.ncbi.nlm.nih.gov/gene/?term=26523
AGO3	AGO3	argonaute RISC catalytic component 3	192669	-3.5378466	https://www.ncbi.nlm.nih.gov/gene/?term=192669
AGO4	AGO4	argonaute RISC catalytic component 4	192670	-1.1585177	https://www.ncbi.nlm.nih.gov/gene/?term=192670
AGPAT3	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	56894	-2.3933363	https://www.ncbi.nlm.nih.gov/gene/?term=56894
AGPAT4	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4	56895	-3.056654	https://www.ncbi.nlm.nih.gov/gene/?term=56895
AGPAT4-IT1	AGPAT4-IT1	AGPAT4 intronic transcript 1	79992	-0.2795794	https://www.ncbi.nlm.nih.gov/gene/?term=79992
AGPAT5	AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5	55326	-3.6771522	https://www.ncbi.nlm.nih.gov/gene/?term=55326
AGPS	AGPS	alkylglycerone phosphate synthase	8540	-2.9440963	https://www.ncbi.nlm.nih.gov/gene/?term=8540
AGR2	AGR2	anterior gradient 2, protein disulphide isomerase family member	10551	-6.607896	https://www.ncbi.nlm.nih.gov/gene/?term=10551
AGR3	AGR3	anterior gradient 3, protein disulphide isomerase family member	155465	-10.393008	https://www.ncbi.nlm.nih.gov/gene/?term=155465
AGT	AGT	angiotensinogen	183	-0.84564227	https://www.ncbi.nlm.nih.gov/gene/?term=183
AGTPBP1	AGTPBP1	ATP/GTP binding protein 1	23287	-2.7299562	https://www.ncbi.nlm.nih.gov/gene/?term=23287
AGXT	AGXT	alanine--glyoxylate and serine--pyruvate aminotransferase	189	-0.17663041	https://www.ncbi.nlm.nih.gov/gene/?term=189
AHCY	AHCY	adenosylhomocysteinase	191	-3.461432	https://www.ncbi.nlm.nih.gov/gene/?term=191
AHCYL1	AHCYL1	adenosylhomocysteinase like 1	10768	-0.5364821	https://www.ncbi.nlm.nih.gov/gene/?term=10768
AHCYL2	AHCYL2	adenosylhomocysteinase like 2	23382	-0.6389044	https://www.ncbi.nlm.nih.gov/gene/?term=23382
AHNAK2	AHNAK2	AHNAK nucleoprotein 2	113146	-3.8911073	https://www.ncbi.nlm.nih.gov/gene/?term=113146
AHRR	AHRR	aryl-hydrocarbon receptor repressor	57491	-0.3853754	https://www.ncbi.nlm.nih.gov/gene/?term=57491
AIF1	AIF1	allograft inflammatory factor 1	199	-1.1291505	https://www.ncbi.nlm.nih.gov/gene/?term=199
AIFM2	AIFM2	apoptosis inducing factor, mitochondria associated 2	84883	-3.2130277	https://www.ncbi.nlm.nih.gov/gene/?term=84883
AJUBA	AJUBA	ajuba LIM protein	84962	-3.8722315	https://www.ncbi.nlm.nih.gov/gene/?term=84962
AK1	AK1	adenylate kinase 1	203	-13.753968	https://www.ncbi.nlm.nih.gov/gene/?term=203
AK4	AK4	adenylate kinase 4	205	-2.1795948	https://www.ncbi.nlm.nih.gov/gene/?term=205
AKAP1	AKAP1	A-kinase anchoring protein 1	8165	0.23604813	https://www.ncbi.nlm.nih.gov/gene/?term=8165
AKAP11	AKAP11	A-kinase anchoring protein 11	11215	-2.7657435	https://www.ncbi.nlm.nih.gov/gene/?term=11215
AKAP12	AKAP12	A-kinase anchoring protein 12	9590	-9.447648	https://www.ncbi.nlm.nih.gov/gene/?term=9590
AKAP13	AKAP13	A-kinase anchoring protein 13	11214	-9.013218	https://www.ncbi.nlm.nih.gov/gene/?term=11214
AKAP14	AKAP14	A-kinase anchoring protein 14	158798	-7.6503115	https://www.ncbi.nlm.nih.gov/gene/?term=158798
AKAP3	AKAP3	A-kinase anchoring protein 3	10566	-0.59450480000000006	https://www.ncbi.nlm.nih.gov/gene/?term=10566
AKAP6	AKAP6	A-kinase anchoring protein 6	9472	-0.91607803	https://www.ncbi.nlm.nih.gov/gene/?term=9472
AKAP7	AKAP7	A-kinase anchoring protein 7	9465	-1.2259927	https://www.ncbi.nlm.nih.gov/gene/?term=9465
AKAP8L	AKAP8L	A-kinase anchoring protein 8 like	26993	-4.266262	https://www.ncbi.nlm.nih.gov/gene/?term=26993
AKNA	AKNA	AT-hook transcription factor	80709	-2.5232751	https://www.ncbi.nlm.nih.gov/gene/?term=80709
AKR1B10	AKR1B10	aldo-keto reductase family 1 member B10	57016	-0.46566197	https://www.ncbi.nlm.nih.gov/gene/?term=57016
AKR1C2	AKR1C2	aldo-keto reductase family 1 member C2	1646	-1.3716899	https://www.ncbi.nlm.nih.gov/gene/?term=1646
AKT3	AKT3	AKT serine/threonine kinase 3	10000	-0.7781816	https://www.ncbi.nlm.nih.gov/gene/?term=10000
ALAD	ALAD	aminolevulinate dehydratase	210	-1.8136503	https://www.ncbi.nlm.nih.gov/gene/?term=210
ALCAM	ALCAM	activated leukocyte cell adhesion molecule	214	12.054939	https://www.ncbi.nlm.nih.gov/gene/?term=214
ALDH1A1	ALDH1A1	aldehyde dehydrogenase 1 family member A1	216	-3.9408736	https://www.ncbi.nlm.nih.gov/gene/?term=216
ALDH1A3	ALDH1A3	aldehyde dehydrogenase 1 family member A3	220	-8.462515	https://www.ncbi.nlm.nih.gov/gene/?term=220
ALDH3A1	ALDH3A1	aldehyde dehydrogenase 3 family member A1	218	-6.138618	https://www.ncbi.nlm.nih.gov/gene/?term=218
ALDH3B1	ALDH3B1	aldehyde dehydrogenase 3 family member B1	221	-10.1273365	https://www.ncbi.nlm.nih.gov/gene/?term=221
ALDH4A1	ALDH4A1	aldehyde dehydrogenase 4 family member A1	8659	-1.1053493	https://www.ncbi.nlm.nih.gov/gene/?term=8659
ALDOC	ALDOC	aldolase, fructose-bisphosphate C	230	-1.6531341	https://www.ncbi.nlm.nih.gov/gene/?term=230
ALG12	ALG12	ALG12, alpha-1,6-mannosyltransferase	79087	-1.9259233	https://www.ncbi.nlm.nih.gov/gene/?term=79087
ALG9	ALG9	ALG9, alpha-1,2-mannosyltransferase	79796	-3.2474627	https://www.ncbi.nlm.nih.gov/gene/?term=79796
ALKBH1	ALKBH1	alkB homolog 1, histone H2A dioxygenase	8846	-1.2827483	https://www.ncbi.nlm.nih.gov/gene/?term=8846
ALKBH4	ALKBH4	alkB homolog 4, lysine demethylase	54784	0.33404326	https://www.ncbi.nlm.nih.gov/gene/?term=54784
ALKBH8	ALKBH8	alkB homolog 8, tRNA methyltransferase	91801	-0.58515227	https://www.ncbi.nlm.nih.gov/gene/?term=91801
ALMS1	ALMS1	ALMS1, centrosome and basal body associated protein	7840	-3.6867752	https://www.ncbi.nlm.nih.gov/gene/?term=7840
ALOX12P2	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2	245	0.66986597	https://www.ncbi.nlm.nih.gov/gene/?term=245
ALOX15	ALOX15	arachidonate 15-lipoxygenase	246	-1.0469849	https://www.ncbi.nlm.nih.gov/gene/?term=246
ALOX15B	ALOX15B	arachidonate 15-lipoxygenase, type B	247	0.012057217	https://www.ncbi.nlm.nih.gov/gene/?term=247
ALOX5	ALOX5	arachidonate 5-lipoxygenase	240	-4.5120325	https://www.ncbi.nlm.nih.gov/gene/?term=240
ALOX5AP	ALOX5AP	arachidonate 5-lipoxygenase activating protein	241	-1.4640479	https://www.ncbi.nlm.nih.gov/gene/?term=241
ALOXE3	ALOXE3	arachidonate lipoxygenase 3	59344	-1.1922836	https://www.ncbi.nlm.nih.gov/gene/?term=59344
ALPL	ALPL	alkaline phosphatase, biomineralization associated	249	3.2150776	https://www.ncbi.nlm.nih.gov/gene/?term=249
ALPP	ALPP	alkaline phosphatase, placental	250	-2.052759	https://www.ncbi.nlm.nih.gov/gene/?term=250
ALS2	ALS2	ALS2, alsin Rho guanine nucleotide exchange factor	57679	-2.6511357	https://www.ncbi.nlm.nih.gov/gene/?term=57679
ALS2CL	ALS2CL	ALS2 C-terminal like	259173	-3.8763313	https://www.ncbi.nlm.nih.gov/gene/?term=259173
