geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
hsa04080	Neuroactive ligand-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04080+2568+117+57105+4160	0.13643753888590587	0.5438441374909161	0.9999999600000016	0.9859933116851646	61	./Project_1733748563_GSEA/hsa04080.png	4	2568;117;57105;4160	ADCYAP1R1;CYSLTR2;GABRP;MC4R
hsa04514	Cell adhesion molecules (CAMs)	http://www.kegg.jp/kegg-bin/show_pathway?hsa04514+9071+79679+214	0.2962138054153555	1.2066779303344102	0	1	66	./Project_1733748563_GSEA/hsa04514.png	3	9071;79679;214	ALCAM;CLDN10;VTCN1
hsa04924	Renin secretion	http://www.kegg.jp/kegg-bin/show_pathway?hsa04924+3759+3709+1636+4881+117	0.3970446155779821	1.4012234136456228	0.09374999853515628	1	26	./Project_1733748563_GSEA/hsa04924.png	5	3759;3709;1636;4881;117	ACE;ADCYAP1R1;ITPR2;KCNJ2;NPR1
hsa04216	Ferroptosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04216+30061+51703+2729	0.48705175194183864	1.3483223064429295	0.1308411202725129	1	12	./Project_1733748563_GSEA/hsa04216.png	3	30061;51703;2729	ACSL5;GCLC;SLC40A1
hsa00591	Linoleic acid metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00591+5321	0.5090118196646807	1.3180730576123791	0.13888888792438273	1	9	./Project_1733748563_GSEA/hsa00591.png	1	5321	PLA2G4A
hsa04725	Cholinergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04725+3759+3709+5295+148327+2791+5332	0.2771734010426917	1.1093848568233116	0.19999999428571447	1	40	./Project_1733748563_GSEA/hsa04725.png	6	3759;3709;5295;148327;2791;5332	CREB3L4;GNG11;ITPR2;KCNJ2;PIK3R1;PLCB4
hsa04974	Protein digestion and absorption	http://www.kegg.jp/kegg-bin/show_pathway?hsa04974+23428+1278+80781+1287	0.33722204886725154	1.1913259817758632	0.23255813412655504	1	29	./Project_1733748563_GSEA/hsa04974.png	4	23428;1278;80781;1287	COL18A1;COL1A2;COL4A5;SLC7A8
hsa04550	Signaling pathways regulating pluripotency of stem cells	http://www.kegg.jp/kegg-bin/show_pathway?hsa04550+3400+658+2263+5295+93	0.30451387713329825	1.083663323404779	0.30769229585798863	1	38	./Project_1733748563_GSEA/hsa04550.png	5	3400;658;2263;5295;93	ACVR2B;BMPR1B;FGFR2;ID4;PIK3R1
hsa05033	Nicotine addiction	http://www.kegg.jp/kegg-bin/show_pathway?hsa05033+2568	0.40461452709190476	1.0309149396998254	0.3862068938882283	1	8	./Project_1733748563_GSEA/hsa05033.png	1	2568	GABRP
hsa04975	Fat digestion and absorption	http://www.kegg.jp/kegg-bin/show_pathway?hsa04975+948+19	0.42703183359328856	1.0460923592726434	0.407692304556213	1	8	./Project_1733748563_GSEA/hsa04975.png	2	948;19	ABCA1;CD36
