geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
hsa05016	Huntington disease	http://www.kegg.jp/kegg-bin/show_pathway?hsa05016+146754+196385+5332+55567+1768+8701+56171+1767+1770+27019+201625	-0.6083522111275662	-1.5994938247794106	0.01225490193074779	0.9186892921650556	27	./Project_1733748596_GSEA/hsa05016.png	11	146754;196385;5332;55567;1768;8701;56171;1767;1770;27019;201625	DNAH10;DNAH11;DNAH12;DNAH2;DNAH3;DNAH5;DNAH6;DNAH7;DNAH9;DNAI1;PLCB4
hsa00980	Metabolism of xenobiotics by cytochrome P450	http://www.kegg.jp/kegg-bin/show_pathway?hsa00980+2938+220+1545+221+130	-0.54247357491147	-1.2765920041966987	0.17427385855959782	0.9582033405473898	17	./Project_1733748596_GSEA/hsa00980.png	5	2938;220;1545;221;130	ADH6;ALDH1A3;ALDH3B1;CYP1B1;GSTA1
hsa04728	Dopaminergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04728+10681+59345+5603+5526+4128+5602+2791+6323+4129+5332+220074	-0.4622287061109181	-1.2904202809254788	0.11421319767966194	0.9827207962852427	40	./Project_1733748596_GSEA/hsa04728.png	11	10681;59345;5603;5526;4128;5602;2791;6323;4129;5332;220074	GNB4;GNB5;GNG11;LRTOMT;MAOA;MAOB;MAPK10;MAPK13;PLCB4;PPP2R5B;SCN1A
hsa00010	Glycolysis / Gluconeogenesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa00010+84532+2026+220+221+130589+130	-0.5302315202557646	-1.221495421378504	0.21822033852071962	0.9858991154970194	16	./Project_1733748596_GSEA/hsa00010.png	6	84532;2026;220;221;130589;130	ACSS1;ADH6;ALDH1A3;ALDH3B1;ENO2;GALM
hsa00565	Ether lipid metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00565+122618+151056+8540+79888+5337+5321+5168	-0.570749502533063	-1.2357222995939185	0.2262443433795377	0.9924048308066789	12	./Project_1733748596_GSEA/hsa00565.png	7	122618;151056;8540;79888;5337;5321;5168	AGPS;ENPP2;LPCAT1;PLA2G4A;PLB1;PLD1;PLD4
hsa05110	Vibrio cholerae infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05110+1080+10312+55176+523	-0.3152740703954889	-0.6598614595671597	0.8736141887503012	0.9949343674101231	10	./Project_1733748596_GSEA/hsa05110.png	4	1080;10312;55176;523	ATP6V1A;CFTR;SEC61A2;TCIRG1
hsa04614	Renin-angiotensin system	http://www.kegg.jp/kegg-bin/show_pathway?hsa04614+5550+7064+1359+183+290+4012+1636	-0.21514818880351902	-0.4057900559371254	0.992031870533801	0.9978837045248413	7	./Project_1733748596_GSEA/hsa04614.png	7	5550;7064;1359;183;290;4012;1636	ACE;AGT;ANPEP;CPA3;LNPEP;PREP;THOP1
hsa00330	Arginine and proline metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00330+5033+4128+4129+8974+1152	-0.6671342243349081	-1.493016706715563	0.05376344074459475	1	14	./Project_1733748596_GSEA/hsa00330.png	5	5033;4128;4129;8974;1152	CKB;MAOA;MAOB;P4HA1;P4HA2
hsa00730	Thiamine metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00730+203	-0.7740140269008251	-1.4087871274366992	0.07261410773316575	1	6	./Project_1733748596_GSEA/hsa00730.png	1	203	AK1
hsa00340	Histidine metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00340+4128+220+4129+221	-0.7683213613497334	-1.417824348815619	0.07302231222510687	1	6	./Project_1733748596_GSEA/hsa00340.png	4	4128;220;4129;221	ALDH1A3;ALDH3B1;MAOA;MAOB
